id,created_at,text
383305647283924992,2013-09-26 19:02:42,"Today, Twitter is updating embedded Tweets to enable a richer photo experience: https://t.co/XdXRudPXH5"
382561653713154049,2013-09-24 17:46:20,"For DMs in User and Site Streams, we're phasing out perspectival attributes. Read more: https://t.co/Tq3eMHP86c"
382185189352284160,2013-09-23 16:50:24,@erichocean We're working to resolve this bug. Thanks for noticing!
382145856851292160,2013-09-23 14:14:06,Some users are having difficulty logging in to http://t.co/78pYTvWfJd. We are working to resolve the issue.
380020400320557057,2013-09-17 17:28:18,"RT @jeffsand: Change invigorates the soul. I am joining the flock at @twitter on October 14, as Director of Platform Partnerships http://t.…"
378199927664300032,2013-09-12 16:54:24,Please join us in welcoming @chabotc to the @twitterapi platform relations team!
373468538431741952,2013-08-30 15:33:32,"Our platform relations team is growing! Please welcome @rchoi, @logicalarthur, and @lfcipriani. We're still hiring: https://t.co/G5KWYx42Y4"
372785561527803904,2013-08-28 18:19:38,"Announcing two accounts with user IDs &gt; 32 bits, for testing https://t.co/r5MTaLVAWA"
372412285764919296,2013-08-27 17:36:22,String representations for lists of user IDs in connection preambles are now available in User and Site Steams APIs https://t.co/GMtL8dEGNr
369507257500712960,2013-08-19 17:12:49,Introducing Twitter Headlines for Embedded Tweets: https://t.co/pGWYU9Qrty
354367997139361792,2013-07-08 22:34:49,We have updated our Player Cards guidelines. Quick overview and discussion in our developer forums: https://t.co/wt5oLZROQ6.
352457619413270528,2013-07-03 16:03:39,"Updated Rules of the Road &amp; Display Requirements: more clarity, based on your feedback. Read more in our dev forum: https://t.co/zhQERtpMmT"
344581518833905664,2013-06-11 22:26:50,Thanks everyone! API v1 Retirement is complete. Please use API v1.1 instead. https://t.co/SIzTAymJPW
344574437674328064,2013-06-11 21:58:42,"As part of the retirement plan today, we're also about to discontinue Basic Auth support for unelevated Streaming API roles. Use OAuth 1.0A."
344573260995903488,2013-06-11 21:54:01,"The retirement of API v1 continues. Most inbound requests should now see HTTP 410, including to the old Search API. https://t.co/WyWlFwutwb"
